ID,Year_Birth,Education,Marital_Status,Income,MntWines,MntFruits,MntGoldProds,NumWebPurchases,NumStorePurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response
113,1962,Graduation,Single,114071,89,124,349,4,15,1,0,0,1,0,0
114,1960,PhD,Single,26640,685,166,253,2,17,0,1,0,1,1,0
115,1964,Graduation,Married,64547,121,240,117,8,10,0,1,1,1,1,1
116,1985,PhD,Single,74620,142,279,492,10,2,0,0,0,1,0,1
117,1973,PhD,Married,35317,993,187,197,13,9,0,0,0,0,0,1
118,1998,Basic,Divorced,135608,105,18,336,13,9,0,1,0,0,1,1
119,1986,Graduation,Married,27564,886,67,364,8,15,0,0,1,0,0,0
120,1968,Basic,Divorced,47345,427,217,50,3,11,1,1,1,1,0,0
121,1974,Graduation,Single,133824,304,101,244,10,1,0,1,1,1,1,0
122,1974,Graduation,Married,114223,871,41,402,3,8,1,0,1,1,0,1
123,1985,Master,Single,143372,970,287,425,11,2,0,1,1,0,1,0
124,1972,Graduation,Divorced,99273,316,166,34,7,14,0,1,1,1,1,0
125,1991,Basic,Divorced,94859,962,108,301,1,2,1,0,0,0,1,1
126,1998,PhD,Divorced,100765,634,35,409,8,18,1,0,1,0,1,1
127,1991,Graduation,Single,130017,901,231,498,12,17,0,0,1,0,1,0
128,1963,Master,Single,94038,8,228,68,13,7,1,1,0,0,0,1
129,1989,Basic,Single,143618,773,163,348,5,16,1,0,1,0,0,0
130,1996,Graduation,Single,72393,72,72,319,8,7,1,0,1,0,0,0
131,1982,Basic,Divorced,86081,358,135,420,7,6,1,0,0,1,0,1
132,1998,Master,Divorced,145341,222,69,467,14,6,0,0,0,0,1,0
133,1974,Master,Married,122650,415,195,48,14,2,1,1,0,0,1,1
134,1988,Basic,Married,49430,552,268,404,6,0,0,1,1,1,0,1
135,1995,Graduation,Single,95532,369,48,73,12,3,0,0,0,0,1,0
136,1972,PhD,Divorced,47788,715,129,191,13,4,0,1,1,1,0,0
137,1991,Master,Divorced,115505,263,4,260,0,0,0,0,1,1,0,0
138,1966,Graduation,Divorced,68543,839,26,355,13,14,1,0,1,1,0,1
139,1981,Graduation,Married,33919,689,159,69,11,4,1,1,1,0,1,0
140,1987,PhD,Married,89346,859,148,89,2,12,0,1,0,0,1,1
141,1961,Master,Divorced,116122,317,263,259,10,7,0,0,0,1,1,1
142,1965,Master,Divorced,59974,83,229,125,13,7,0,0,1,0,1,0
143,1987,Graduation,Divorced,127309,317,199,230,1,4,0,1,0,0,0,1
144,1987,Graduation,Married,36371,110,49,294,4,8,1,0,1,1,1,0
145,1979,PhD,Divorced,65084,250,66,497,14,0,0,1,1,1,1,0
146,1989,PhD,Divorced,49629,382,299,418,4,3,1,0,1,0,1,0
147,1970,Master,Single,71184,6,57,128,4,2,0,0,0,1,0,0
148,1987,Basic,Single,81916,458,258,279,3,1,0,1,1,1,0,0
149,1984,Master,Married,147293,83,129,312,4,7,0,1,1,1,1,0
150,1998,Graduation,Divorced,93972,207,214,99,2,8,0,1,0,0,1,0
151,1992,Master,Divorced,82187,899,171,325,11,1,1,1,0,0,1,1
152,1960,Basic,Single,32984,389,257,296,0,13,1,1,0,0,1,0
153,1986,PhD,Married,53039,313,101,181,4,13,1,1,0,1,0,1
154,1972,Basic,Single,105431,21,208,173,12,3,0,1,1,0,1,1
155,1962,Basic,Single,103691,409,290,315,8,5,0,0,0,1,1,1
156,1998,Basic,Single,78606,894,285,363,12,10,1,0,1,0,1,0
157,1965,PhD,Single,30616,514,115,187,8,2,1,0,0,0,0,1
158,1967,Basic,Divorced,122665,126,263,56,3,7,0,1,0,1,0,1
159,1986,Basic,Divorced,125373,808,149,30,2,2,0,1,0,0,1,0
160,1968,Basic,Single,70072,699,299,83,0,13,1,1,0,1,1,0
161,1996,Graduation,Married,44574,873,35,151,1,12,0,0,0,0,1,1
162,1992,Basic,Married,23430,13,286,472,7,12,0,1,0,0,1,0
163,1983,PhD,Married,139123,970,207,35,0,1,1,1,1,1,1,0
164,1974,Basic,Married,32676,977,105,212,7,12,0,0,0,1,0,0
165,1991,Basic,Single,30816,11,157,413,12,18,1,1,0,1,0,0
166,1991,PhD,Divorced,52733,86,120,407,6,5,0,0,0,0,0,1
167,1983,Basic,Married,105680,523,54,363,14,15,1,0,0,0,1,0
168,1971,PhD,Single,22050,908,11,105,7,1,0,1,1,0,0,0
169,1998,Basic,Married,129996,536,144,413,11,7,1,1,0,1,0,0
170,1961,PhD,Married,53933,300,135,341,5,16,1,1,0,1,0,1
171,1962,Basic,Single,44951,242,2,219,11,1,1,0,0,1,1,1
172,1996,Basic,Divorced,52413,121,143,390,13,9,1,0,0,0,1,0
173,1976,Graduation,Divorced,54801,146,29,162,14,15,0,0,1,0,0,0
174,1961,Graduation,Single,75619,566,236,438,14,5,0,1,0,1,1,1
175,1961,Basic,Divorced,52913,749,278,219,8,1,1,1,1,0,0,0
176,1987,Basic,Single,132573,355,114,269,2,1,0,1,0,1,0,0
177,1982,Master,Single,139076,684,103,119,9,12,0,1,1,0,0,1
178,1996,PhD,Single,60600,903,117,393,3,14,0,0,1,0,0,0
179,1991,Master,Divorced,77775,732,4,335,12,1,0,0,0,1,1,0
180,1992,Graduation,Single,110816,630,247,399,5,6,0,0,0,0,1,1
181,1960,Graduation,Married,149972,308,120,181,7,2,1,0,1,0,1,1
182,1978,Graduation,Divorced,110093,694,285,478,4,7,1,1,1,1,1,0
183,1961,Graduation,Divorced,132590,287,148,105,2,13,1,1,0,1,0,1
184,1985,Basic,Divorced,55400,306,83,216,5,6,1,1,1,0,1,0
185,1991,Graduation,Divorced,24494,811,230,204,3,6,0,0,1,1,0,0
186,1965,Basic,Married,100688,593,287,69,8,0,0,0,1,0,1,0
187,1991,Basic,Divorced,142744,965,160,43,12,16,1,1,0,1,1,1
188,1963,Graduation,Divorced,109431,913,271,328,2,8,0,1,1,0,1,1
189,1970,Graduation,Single,94691,722,37,300,3,12,0,0,1,0,0,0
190,1976,PhD,Divorced,117419,661,225,227,6,18,1,1,1,1,0,0
191,1997,Master,Married,128730,548,141,183,6,18,0,0,0,0,0,1
192,1983,Graduation,Married,63001,351,291,106,11,16,1,0,0,0,0,1
193,1964,PhD,Married,87364,311,150,83,11,9,1,0,1,1,1,1
194,1993,PhD,Married,144988,872,113,337,3,9,0,1,0,1,0,0
195,1965,Master,Divorced,65028,58,236,249,5,3,0,1,1,0,0,1
196,1981,Basic,Divorced,127434,642,65,362,11,7,1,0,0,1,1,1
197,1970,Graduation,Married,117659,923,257,440,12,19,1,1,0,1,1,0
198,1975,Master,Married,57573,713,248,20,2,19,0,0,1,0,0,0
199,1992,Graduation,Divorced,20806,754,179,195,5,17,1,0,0,0,1,0
200,1968,PhD,Married,144343,34,189,177,11,13,1,0,0,1,0,1
201,1965,PhD,Single,76638,444,153,416,1,17,1,0,0,1,1,0
202,1975,Basic,Married,148301,92,195,474,7,13,0,1,1,1,0,0
203,1988,PhD,Married,146295,949,261,6,1,19,1,0,0,0,0,0
204,1962,PhD,Single,126506,958,142,69,10,14,0,0,0,0,0,0
205,1979,Master,Single,49757,206,100,126,6,3,1,1,1,0,0,1
206,1995,Graduation,Divorced,54636,352,243,398,8,12,0,0,0,0,0,0
207,1978,Graduation,Divorced,100097,902,11,465,0,7,1,0,0,0,1,1
208,1985,Master,Single,68280,331,238,159,7,17,0,1,0,0,0,1
209,1962,Basic,Single,44262,816,48,247,6,11,0,1,0,0,0,1
210,1978,Graduation,Divorced,100435,861,41,202,5,13,0,1,0,1,0,0
211,1979,PhD,Married,82211,724,165,147,5,1,1,0,1,1,0,1
212,1991,Graduation,Single,74842,158,81,471,5,17,1,1,1,0,0,0
213,1966,PhD,Divorced,148583,953,290,142,8,1,1,1,0,0,1,0
214,1992,Basic,Married,76979,956,157,431,1,10,0,0,0,0,1,0
215,1999,Master,Single,134524,23,215,198,0,8,1,0,0,1,0,1
216,1998,Graduation,Married,101470,403,157,404,12,11,0,0,1,0,1,0
217,1977,Master,Divorced,58197,804,133,425,11,16,1,0,1,1,0,0
218,1999,Graduation,Single,61844,515,66,153,5,14,0,0,0,1,1,0
219,1960,PhD,Married,84754,731,6,491,9,16,0,1,0,1,1,1
220,1970,Master,Single,121868,363,13,375,10,17,0,1,1,1,0,1
221,1987,Graduation,Married,54157,381,72,383,7,5,1,1,0,1,1,1
222,1984,PhD,Divorced,97129,531,162,141,2,16,1,0,1,0,1,0
223,1982,Master,Divorced,60042,955,65,312,11,17,1,0,1,0,0,1
224,1990,Master,Single,81665,151,129,164,9,7,0,0,0,1,0,0
225,1989,Graduation,Married,135512,561,205,313,0,8,0,1,1,0,1,0
226,1994,Graduation,Single,136953,688,275,20,8,5,1,1,0,1,1,1
227,1966,Graduation,Single,102856,946,255,81,12,4,1,0,0,1,1,0
228,1975,PhD,Married,47376,607,265,68,12,11,1,1,0,0,0,1
229,1985,Graduation,Married,129049,616,24,130,0,10,0,0,0,0,1,0
230,1961,Master,Married,75554,419,280,86,2,0,0,1,0,0,1,1
231,1960,Master,Divorced,34199,249,252,217,7,10,0,1,0,0,1,0
232,1971,Graduation,Single,138533,116,288,420,13,18,0,1,1,0,0,0
233,1964,Graduation,Single,101412,865,163,471,2,8,0,0,1,1,0,0
234,1996,Basic,Divorced,70948,511,94,304,12,1,1,1,1,0,0,0
235,1991,Master,Married,93781,739,269,402,3,11,0,1,1,0,0,0
236,1968,PhD,Divorced,92750,577,109,370,7,3,0,0,0,0,1,1
237,1994,Basic,Divorced,86262,334,237,344,0,3,0,1,1,1,0,0
238,1978,Graduation,Divorced,137424,417,24,340,12,17,0,0,1,0,1,1
239,1975,Graduation,Single,66600,931,140,383,12,14,0,0,1,1,1,1
240,1962,Master,Divorced,96898,773,116,395,5,18,1,0,0,0,1,1
241,1979,Graduation,Single,82483,294,24,444,0,12,0,0,1,0,1,0
242,1983,PhD,Single,38297,937,78,424,13,18,0,0,0,1,0,0
243,1992,Master,Single,50448,754,67,160,0,16,0,1,1,0,0,0
244,1983,Graduation,Married,46172,370,172,177,13,5,1,0,0,0,0,1
245,1970,Master,Single,62874,185,11,116,7,15,1,0,0,1,0,0
246,1967,Graduation,Single,27657,245,287,195,10,11,1,0,1,0,0,0
247,1995,Graduation,Married,104386,636,127,382,3,18,0,0,0,1,1,1
248,1997,Graduation,Single,145617,267,95,489,11,4,1,1,0,1,0,1
249,1999,PhD,Divorced,45425,642,91,326,0,16,0,0,1,1,0,1
250,1979,PhD,Divorced,46685,236,140,85,9,0,0,1,1,1,0,1
251,1994,Master,Single,142000,529,30,288,6,9,1,0,1,1,0,1
252,1984,Graduation,Married,132855,551,19,80,4,14,0,1,0,0,1,1
253,1994,Graduation,Divorced,44578,20,145,151,4,10,0,0,0,0,1,0
254,1984,PhD,Married,48831,910,159,60,0,12,0,0,0,0,1,1
255,1988,Graduation,Married,27906,736,42,60,13,4,1,1,1,1,1,0
256,1977,PhD,Divorced,81413,866,253,353,9,0,0,0,0,1,1,0
257,1977,Graduation,Married,74028,793,129,27,10,11,0,1,0,1,0,0
258,1961,Master,Divorced,27287,519,59,441,5,10,1,0,0,1,1,1
259,1994,Graduation,Married,53660,99,150,42,13,16,0,1,0,0,1,0
260,1975,Graduation,Divorced,95758,751,286,168,8,3,0,0,0,0,1,1
261,1995,Basic,Single,80504,477,4,422,8,14,1,0,0,1,0,1
262,1992,PhD,Divorced,79720,598,265,85,7,8,0,1,0,1,0,0
263,1963,Graduation,Divorced,122979,297,129,176,4,19,0,0,1,0,1,1
264,1992,Graduation,Divorced,54701,939,266,16,0,18,0,0,1,1,0,0
265,1973,Basic,Divorced,103300,525,177,97,8,18,0,0,1,1,0,0
266,1980,Basic,Married,130177,333,252,453,0,11,0,0,0,1,1,1
267,1979,PhD,Single,37674,1,55,493,7,4,1,0,0,0,0,0
268,1967,Basic,Divorced,103560,374,82,197,4,9,1,0,1,0,0,0
269,1966,Master,Married,131543,292,98,97,2,16,1,1,0,1,0,0
270,1962,Basic,Single,43874,836,148,64,10,4,1,1,1,0,1,1
271,1976,Master,Single,63642,933,155,329,6,15,0,1,0,1,1,0
272,1992,PhD,Single,143867,552,189,340,6,6,0,0,0,1,1,1
273,1971,PhD,Single,117820,317,262,4,8,8,0,1,1,0,0,1
274,1981,PhD,Divorced,85160,501,79,1,6,2,0,0,1,1,1,0
275,1981,PhD,Divorced,37602,827,251,21,12,14,0,0,1,1,0,0
276,1989,PhD,Married,123320,380,96,111,10,15,1,0,1,0,0,1
277,1997,Master,Married,108801,622,259,56,13,17,1,0,1,1,0,1
278,1997,Master,Married,45931,13,259,65,2,13,0,1,0,1,1,0
279,1967,PhD,Single,114377,503,102,329,10,2,0,0,0,1,1,0
280,1986,Basic,Single,49192,230,39,97,12,11,0,1,0,0,1,1
281,1986,Graduation,Divorced,66542,984,272,143,14,8,1,0,1,1,1,1
282,1993,PhD,Single,147015,83,100,367,13,6,0,1,1,0,0,1
283,1980,Basic,Single,62520,129,220,434,12,8,0,1,1,1,1,1
284,1989,Graduation,Single,84772,742,123,124,0,12,0,1,1,1,0,1
285,1992,PhD,Married,78762,837,230,166,7,17,1,1,1,1,1,0
286,1987,PhD,Married,70106,144,177,85,11,4,0,1,1,1,1,1
287,1992,Master,Divorced,101121,890,62,75,2,12,1,1,0,0,1,1
288,1964,Graduation,Single,45559,856,115,343,11,3,1,0,0,0,0,0
289,1978,Graduation,Single,125595,27,190,494,7,1,1,1,0,1,0,0
290,1963,Basic,Divorced,53742,65,61,423,7,15,1,0,0,1,0,1
291,1994,Master,Single,89669,162,255,293,12,8,1,1,0,1,0,1
292,1976,Master,Single,100199,228,6,443,4,8,1,0,1,1,0,0
293,1987,Master,Married,41754,260,154,58,12,5,0,1,1,1,1,1
294,1989,Master,Divorced,23972,448,91,137,11,10,0,1,1,1,0,1
295,1988,Graduation,Divorced,90831,423,13,98,12,0,0,0,1,1,0,0
296,1965,Graduation,Divorced,132217,459,228,191,0,3,1,1,1,1,0,1
297,1994,PhD,Divorced,61873,951,85,242,12,12,0,1,1,0,0,0
298,1996,PhD,Married,114661,675,132,318,9,12,1,1,0,0,1,0
299,1983,Master,Married,126532,300,182,48,6,12,1,0,1,0,0,0
300,1988,Master,Single,146267,918,61,447,11,1,1,1,1,1,1,0
301,1990,Master,Single,29903,302,218,31,9,8,0,0,1,1,1,1
302,1994,PhD,Single,23020,286,245,390,4,7,1,1,1,1,1,0
303,1992,Basic,Single,61755,394,229,276,7,6,1,1,0,0,0,1
304,1980,Basic,Married,105956,9,78,19,8,3,0,0,0,1,1,1
305,1991,PhD,Divorced,106988,706,148,153,10,17,0,1,1,0,0,1
306,1982,PhD,Married,65648,629,137,382,13,2,1,1,0,1,0,1
307,1992,PhD,Single,123537,269,64,67,6,5,1,0,0,0,0,1
308,1962,PhD,Married,145991,591,12,365,13,11,0,1,1,0,0,0
309,1977,PhD,Divorced,29516,969,212,371,12,11,0,0,1,0,0,0
310,1984,PhD,Divorced,132863,604,241,213,14,7,0,0,1,1,1,0
311,1990,Master,Married,135005,777,212,142,6,0,1,0,1,0,1,0
312,1962,Master,Married,22396,843,180,375,0,3,0,1,1,1,0,1
313,1999,Master,Married,104082,861,172,231,14,10,0,0,0,1,1,0
314,1983,Master,Single,39129,360,159,212,3,2,0,0,1,1,0,1
315,1991,PhD,Married,148322,256,163,78,1,12,1,1,1,1,1,1
316,1981,Basic,Married,21591,132,187,213,1,16,0,0,1,1,1,0
317,1982,Graduation,Married,31303,275,190,115,1,9,0,1,0,0,1,0
318,1961,PhD,Divorced,50561,775,255,91,3,11,0,1,1,1,1,0
319,1986,Graduation,Divorced,91719,682,182,269,13,14,0,1,1,1,1,0
320,1961,Basic,Single,138618,971,116,410,0,9,0,1,1,1,0,1
321,1985,Master,Single,112108,512,281,380,14,13,1,0,0,1,0,1
322,1976,Basic,Divorced,148748,312,195,488,3,12,1,0,1,1,1,0
323,1999,PhD,Divorced,119616,575,33,167,1,4,1,0,1,0,0,1
324,1992,Master,Divorced,144165,885,51,57,4,5,0,0,1,0,1,1
325,1968,PhD,Married,106231,979,111,283,2,1,1,0,0,1,0,1
326,1998,Master,Married,27314,283,251,25,14,16,1,1,1,0,1,0
327,1988,Graduation,Divorced,137071,120,81,368,11,3,1,0,1,0,1,1
328,1985,Graduation,Married,39623,106,231,446,7,13,0,0,1,1,1,0
329,1994,Graduation,Married,87675,932,226,65,3,9,0,0,0,0,0,0
330,1984,Basic,Single,132992,686,232,408,0,2,1,1,1,1,0,1
331,1983,PhD,Divorced,116826,996,220,247,0,2,1,1,1,0,1,1
332,1972,Basic,Divorced,85082,203,41,253,11,14,0,0,1,0,1,0
333,1966,Graduation,Married,149839,164,20,386,9,5,0,1,0,0,0,1
334,1995,PhD,Divorced,103624,304,41,455,2,16,1,0,0,1,0,1
335,1979,Graduation,Single,125228,496,112,43,14,11,0,0,1,0,0,0
336,1960,Basic,Single,53130,631,104,96,8,19,1,1,0,0,0,0
337,1967,Basic,Single,71756,555,191,41,6,10,0,1,0,1,0,0
338,1975,Basic,Divorced,117624,823,16,499,1,3,1,0,0,1,1,0
339,1973,Graduation,Divorced,46292,155,119,226,14,5,1,0,1,0,0,1
340,1971,PhD,Divorced,131785,366,128,261,12,0,0,1,1,1,1,1
341,1982,PhD,Divorced,147331,718,129,166,8,19,1,0,0,0,1,0
342,1974,Graduation,Divorced,106206,901,59,435,9,15,1,1,0,0,0,0
343,1987,PhD,Single,89274,619,47,278,1,14,1,0,0,1,0,0
344,1993,Graduation,Married,22469,250,28,88,2,16,0,1,1,1,1,1
345,1961,PhD,Single,73947,956,96,378,10,7,0,0,1,1,0,0
346,1991,Master,Divorced,42534,915,9,177,12,11,0,0,0,0,1,1
347,1982,Master,Single,83620,881,241,426,9,9,1,1,0,1,0,0
348,1981,Basic,Divorced,68874,333,231,402,13,14,0,0,0,0,0,0
349,1984,Master,Divorced,69708,641,276,196,1,8,1,0,0,1,0,0
350,1981,Master,Single,94553,968,283,306,2,1,1,1,1,0,1,1
351,1981,Master,Divorced,88344,510,202,266,5,4,0,0,0,1,0,1
352,1965,Graduation,Married,69138,292,246,267,8,5,0,0,1,0,1,1
353,1974,Master,Divorced,74302,19,289,73,8,6,1,0,0,1,0,0
354,1996,Master,Married,67638,281,263,7,6,0,1,1,0,0,1,1
355,1992,Basic,Married,98249,796,213,407,11,6,0,1,0,1,0,1
356,1967,Master,Divorced,125865,0,199,475,2,19,0,1,0,1,1,0
357,1964,Master,Single,22719,118,78,296,3,11,0,0,0,0,1,0
358,1998,PhD,Married,42890,34,172,163,5,15,1,0,1,1,1,1
359,1963,Basic,Single,97236,197,68,484,10,15,1,0,0,0,1,1
360,1965,Basic,Married,56509,484,86,84,4,10,1,0,0,0,1,1
361,1991,Basic,Divorced,62534,756,100,71,1,3,1,1,0,1,1,1
362,1989,Basic,Divorced,122302,58,7,54,12,12,1,0,1,0,0,0
363,1994,Basic,Married,112241,836,199,392,5,6,0,0,1,1,1,0
364,1999,Basic,Divorced,38787,160,86,46,2,3,0,0,1,1,1,0
